id,code,number,name,parent_id/id,type,active
account_sat.account_sat_094,31.1,130-100-001,Marcas y Patentes,account_sat.account_sat_093,other,True
account_sat.account_sat_095,32,131-000-000,Depósitos en Garantía,account_sat.account_sat_063,view,True
account_sat.account_sat_096,32.1,131-100-001,Depósitos en Garantía,account_sat.account_sat_095,other,True
account_sat.account_sat_097,33,132-000-000,Crédito Mercantil,account_sat.account_sat_063,view,True
account_sat.account_sat_098,33.1,132-100-001,Crédito Mercantil,account_sat.account_sat_097,other,True
account_sat.account_sat_099,34,133-000-000,Impuestos diferidos,account_sat.account_sat_063,view,True
account_sat.account_sat_100,34.1,133-100-001,Impuestos diferidos,account_sat.account_sat_099,other,True
account_sat.account_sat_101,35,134-000-000,Cuentas por cobrar a largo plazo,account_sat.account_sat_063,view,True
account_sat.account_sat_102,35.1,134-100-001,Cuentas por cobrar a largo plazo,account_sat.account_sat_101,other,True
account_sat.account_sat_103,36,135-000-000,Otros Activos No Circulantes,account_sat.account_sat_063,view,True
account_sat.account_sat_104,36.1,135-100-001,Otros Activos No Circulantes,account_sat.account_sat_103,other,True
account_sat.account_sat_105,,000-200-000,Pasivo ,account_sat.account_sat_001,view,True
account_sat.account_sat_106,,200-000-000,Pasivos circulantes,account_sat.account_sat_105,view,True
account_sat.account_sat_107,37,200-100-000,Proveedores,account_sat.account_sat_106,view,True
