id,code,number,name,parent_id/id,type,nature,active
acc_sat.account_sat_v2_324,211.02,211-100-002,Provision de SAR por pagar,acc_sat.account_sat_v2_322,other,A,True
acc_sat.account_sat_v2_325,211.03,211-100-003,Provision de infonavit por pagar,acc_sat.account_sat_v2_322,other,A,True
acc_sat.account_sat_v2_326,212,212-000-000,Provision de impuesto estatal sobre nomina por pagar,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_327,212.01,212-100-001,Provision de impuesto estatal sobre nomina por pagar,acc_sat.account_sat_v2_326,other,A,True
acc_sat.account_sat_v2_328,213,213-000-000,Impuestos y derechos por pagar,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_329,213.01,213-100-001,IVA por pagar,acc_sat.account_sat_v2_328,other,A,True
acc_sat.account_sat_v2_330,213.02,213-100-002,IEPS por pagar,acc_sat.account_sat_v2_328,other,A,True
acc_sat.account_sat_v2_331,213.03,213-100-003,ISR por pagar,acc_sat.account_sat_v2_328,other,A,True
acc_sat.account_sat_v2_332,213.04,213-100-004,Impuesto estatal sobre nomina por pagar,acc_sat.account_sat_v2_328,other,A,True
acc_sat.account_sat_v2_333,213.05,213-100-005,Impuesto estatal y municipal por pagar,acc_sat.account_sat_v2_328,other,A,True
acc_sat.account_sat_v2_334,213.06,213-100-006,Derechos por pagar,acc_sat.account_sat_v2_328,other,A,True
acc_sat.account_sat_v2_335,213.07,213-100-007,Otros impuestos por pagar,acc_sat.account_sat_v2_328,other,A,True
acc_sat.account_sat_v2_336,214,214-000-000,Dividendos por pagar,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_337,214.01,214-100-001,Dividendos por pagar,acc_sat.account_sat_v2_336,other,A,True
acc_sat.account_sat_v2_338,215,215-000-000,PTU por pagar,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_339,215.01,215-100-001,PTU por pagar,acc_sat.account_sat_v2_338,other,A,True
acc_sat.account_sat_v2_340,215.02,215-100-002,PTU por pagar de ejercicios anteriores,acc_sat.account_sat_v2_338,other,A,True
acc_sat.account_sat_v2_341,215.03,215-100-003,Provision de PTU por pagar,acc_sat.account_sat_v2_338,other,A,True
acc_sat.account_sat_v2_342,216,216-000-000,Impuestos retenidos,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_343,216.01,216-100-001,Impuestos retenidos de ISR por sueldos y salarios ,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_344,216.02,216-100-002,Impuestos retenidos de ISR por asimilados a salarios,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_345,216.03,216-100-003,Impuestos retenidos de ISR por arrendamiento,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_346,216.04,216-100-004,Impuestos retenidos de ISR por servicios profesionales,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_347,216.05,216-100-005,Impuestos retenidos de ISR por dividendos,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_348,216.06,216-100-006,Impuestos retenidos de ISR por intereses,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_349,216.07,216-100-007,Impuestos retenidos de ISR por pagos al extranjero,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_350,216.08,216-100-008,Impuestos retenidos de ISR por venta de acciones,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_351,216.09,216-100-009,Impuestos retenidos de ISR por venta de partes sociales,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_352,216.10,216-100-010,Impuestos retenidos de IVA,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_353,216.11,216-100-011,Retenciones de IMSS a los trabajadores,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_354,216.12,216-100-012,Otras impuestos retenidos,acc_sat.account_sat_v2_342,other,A,True
acc_sat.account_sat_v2_355,217,217-000-000,Pagos realizados por cuenta de terceros,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_356,217.01,217-100-001,Pagos realizados por cuenta de terceros,acc_sat.account_sat_v2_355,other,A,True
acc_sat.account_sat_v2_357,218,218-000-000,Otros pasivos a corto plazo,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_358,218.01,218-100-001,Otros pasivos a corto plazo,acc_sat.account_sat_v2_357,other,A,True
acc_sat.account_sat_v2_359,200.02,000-250-000,Pasivo a largo plazo,acc_sat.account_sat_v2_251,view,A,True
acc_sat.account_sat_v2_360,251,251-000-000,Acreedores diversos a largo plazo,acc_sat.account_sat_v2_359,view,A,True
acc_sat.account_sat_v2_361,251.01,251-100-001,"Socios, accionistas o representante legal",acc_sat.account_sat_v2_360,other,A,True
acc_sat.account_sat_v2_362,251.02,251-100-002,Acreedores diversos a largo plazo nacional,acc_sat.account_sat_v2_360,other,A,True
acc_sat.account_sat_v2_363,251.03,251-100-003,Acreedores diversos a largo plazo extranjero,acc_sat.account_sat_v2_360,other,A,True
acc_sat.account_sat_v2_364,251.04,251-100-004,Acreedores diversos a largo plazo nacional parte relacionada,acc_sat.account_sat_v2_360,other,A,True
acc_sat.account_sat_v2_365,251.05,251-100-005,Acreedores diversos a largo plazo extranjero parte relacionada,acc_sat.account_sat_v2_360,other,A,True
acc_sat.account_sat_v2_366,251.06,251-100-006,Otros acreedores diversos a largo plazo,acc_sat.account_sat_v2_360,other,A,True
acc_sat.account_sat_v2_367,252,252-000-000,Cuentas por pagar a largo plazo,acc_sat.account_sat_v2_359,view,A,True
acc_sat.account_sat_v2_368,252.01,252-100-001,Documentos bancarios y financieros por pagar a largo plazo nacional ,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_369,252.02,252-100-002,Documentos bancarios y financieros por pagar a largo plazo extranjero,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_370,252.03,252-100-003,Documentos y cuentas por pagar a largo plazo nacional,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_371,252.04,252-100-004,Documentos y cuentas por pagar a largo plazo extranjero,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_372,252.05,252-100-005,Documentos y cuentas por pagar a largo plazo nacional parte relacionada,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_373,252.06,252-100-006,Documentos y cuentas por pagar a largo plazo extranjero parte relacionada,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_374,252.07,252-100-007,Hipotecas por pagar a largo plazo nacional,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_375,252.08,252-100-008,Hipotecas por pagar a largo plazo extranjero,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_376,252.09,252-100-009,Hipotecas por pagar a largo plazo nacional parte relacionada,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_377,252.10,252-100-010,Hipotecas por pagar a largo plazo extranjero parte relacionada,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_378,252.11,252-100-011,Intereses por pagar a largo plazo nacional,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_379,252.12,252-100-012,Intereses por pagar a largo plazo extranjero,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_380,252.13,252-100-013,Intereses por pagar a largo plazo nacional parte relacionada,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_381,252.14,252-100-014,Intereses por pagar a largo plazo extranjero parte relacionada,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_382,252.15,252-100-015,Dividendos por pagar nacionales,acc_sat.account_sat_v2_367,other,A,True
acc_sat.account_sat_v2_383,252.16,252-100-016,Dividendos por pagar extranjeros,acc_sat.account_sat_v2_367,other,A,True
